ticket_id,lesson_date,lesson_datetime,created_at
70236135,2026-4-10,"2026-4-10, 18:00","2026-4-10, 20:27"
70236136,2026-4-11,"2026-4-11, 07:30","2026-4-11, 07:40"
70236137,2026-4-12,"2026-4-12, 07:00","2026-4-12, 06:27"
70236137,2026-4-12,"2026-4-12, 07:00","2026-4-12, 07:25"
70236138,2026-4-12,"2026-4-12, 12:30","2026-4-12, 13:29"
70236139,2026-4-18,"2026-4-18, 07:30","2026-4-18, 07:57"
70236140,2026-4-18,"2026-4-18, 13:30","2026-4-18, 14:20"
70236141,2026-4-19,"2026-4-19, 08:00","2026-4-19, 08:27"
70236141,2026-4-19,"2026-4-19, 07:30","2026-4-19, 08:30"
70236141,2026-4-19,"2026-4-19, 09:00","2026-4-19, 09:26"
70236143,2026-4-25,"2026-4-25, 09:00","2026-4-25, 10:20"
70236142,2026-4-25,"2026-4-25, 07:30","2026-4-25, 16:10"
70236144,2026-4-26,"2026-4-26, 07:30","2026-4-26, 10:04"
70236145,2026-4-28,"2026-4-28, 15:00","2026-4-28, 15:28"
70236146,2026-4-29,"2026-4-29, 12:30","2026-4-29, 12:56"
70236147,2026-4-30,"2026-4-30, 07:30","2026-4-30, 09:59"
70236148,2026-5-1,"2026-5-1, 07:30","2026-5-1, 06:27"
70236148,2026-5-4,"2026-5-4, 16:00","2026-5-4, 16:45"
70236149,2026-5-5,"2026-5-5, 07:00","2026-5-4, 21:37"
70236149,2026-5-5,"2026-5-5, 15:30","2026-5-5, 15:59"
